feature,importance_mean,importance_std
cp,0.03224699253348139,0.010045298059561286
oldpeak,0.03204092513666264,0.006770377830967092
exang,0.02669090466804922,0.01214444718354495
sex,0.015404083079557434,0.010228446159545115
slope,0.014630142174841381,0.0033714807107989905
chol,0.005854230204940775,0.003157852571544048
restecg,0.0020052150632753397,0.001110992777909004
thalach,0.0018095234477662314,0.0031940847732637744
age,0.000431439788834731,0.0006367026775719581
fbs,-0.0012612782606882867,0.0007652872376538109
trestbps,-0.0019427673770798849,0.001424149385654203
